question,answer,q_len,q_bin,gen_naive_k1_all-MiniLM-L6-v2,gen_cot_k1_all-MiniLM-L6-v2,gen_persona_k1_all-MiniLM-L6-v2,gen_naive_k3_all-MiniLM-L6-v2,gen_cot_k3_all-MiniLM-L6-v2,gen_persona_k3_all-MiniLM-L6-v2,gen_naive_k5_all-MiniLM-L6-v2,gen_cot_k5_all-MiniLM-L6-v2,gen_persona_k5_all-MiniLM-L6-v2,gen_naive_k1_all-mpnet-base-v2,gen_cot_k1_all-mpnet-base-v2,gen_persona_k1_all-mpnet-base-v2,gen_naive_k3_all-mpnet-base-v2,gen_cot_k3_all-mpnet-base-v2,gen_persona_k3_all-mpnet-base-v2,gen_naive_k5_all-mpnet-base-v2,gen_cot_k5_all-mpnet-base-v2,gen_persona_k5_all-mpnet-base-v2,contexts
What kinds of coats do wolves have?,bulky coats with two layers,7,short,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is usually gray regardless of the outer coat's appearance. Final Answer: bulky.",bulky,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is usually gray regardless of the outer coat's appearance. Final Answer: bulky coats consisting of two layers.",bulky,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is usually gray regardless of the outer coat's appearance. The front paws are larger than the hind paws, and have a fifth digit, the dewclaw, that is absent on hind paws. Final Answer: bulky coats consisting of two layers.",bulky,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is usually gray regardless of the outer coat's appearance. Final Answer: bulky.",bulky,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The wolves have distinct winter and summer pelages that alternate in spring and autumn. Final Answer: bulky coats consisting of two layers.",bulky,bulky,"The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is usually gray regardless of the outer coat's appearance. The wolves have distinct winter and summer pelages that alternate in spring and autumn. The undercoat is usually gray regardless of the outer coat's appearance. The wolves are considered as a rather problematic animal to breed, and, combined with the low value of the pelt, most fur farms utilize other animals. Wolves' varied coats make it difficult to create fur coats.",bulky,"{'passage': ""Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts."", 'id': 1031}"
Is Liechtenstein bordered by Switzerland?,Yes,5,short,yes,Yes.,yes,yes,Yes.,yes,yes,Yes.,yes,yes,The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. Final Answer: yes.,Yes.,yes,The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border of Liechtenstein is formed by the river. The entire western border,yes,yes,Yes.,yes,"{'passage': 'The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.', 'id': 2817}"
Is polar bear a mammal?,Yes,5,short,A semi-aquatic marine mammal,The polar bear is a marine mammal. The polar bear is a semi-aquatic marine mammal. The final answer: yes.,Yes.,A semi-aquatic marine mammal,"The polar bear is a semi-aquatic marine mammal. The polar bear has adapted for life on a combination of land, sea, and ice. The polar bear has a short tail and small ears that help reduce heat loss, as well as a relatively small head and long, tapered body to streamline it for swimming. The polar bear is a semi-aquatic marine mammal. Final Answer: yes.",A semi-aquatic marine mammal.,A semi-aquatic marine mammal,"The polar bear is a semi-aquatic marine mammal. The polar bear has adapted for life on a combination of land, sea, and ice. The answer: yes.",Yes.,The polar bear (Ursus maritimus) is a bear native to the Arctic.,The sentence is true because the sentence is true. The polar bear is a bear native to the Arctic. The answer: yes.,Yes.,The polar bear is regarded as a marine mammal due to its intimate relationship with the sea,"The polar bear is regarded as a marine mammal due to its intimate relationship with the sea. The earliest preliminary estimates of the global population were around 5,000-10,000 in the early 1970s, but this was revised to 20,000-40,000 in the 1980s. Current estimates bound the global population between 20,000 to 25,000. Final Answer: yes",The polar bear is regarded as a marine mammal due to its intimate relationship with the sea.,polar bear is regarded as a marine mammal due to its intimate relationship with the sea,The polar bear is regarded as a marine mammal due to its intimate relationship with the sea. The answer: yes.,The polar bear is regarded as a marine mammal due to its intimate relationship with the sea.,"{'passage': 'A semi-aquatic marine mammal, the polar bear has adapted for life on a combination of land, sea, and ice,    ', 'id': 2592}"
"What does ""singa"" mean?",lion,4,short,lion,lion,lion,lion,Lion.,lion,lion,Lion.,lion,lion,lion,lion,lion,Lion.,lion,lion,Lion.,lion,"{'passage': 'The name Singapura is derived from the Sanskrit words singa à®\x9aà®¿à®\x99à¯\x8dà®\x95     (""lion"") and   à®ªà¯\x81à®°   (""city"").    According to the Malay Annals, this name was given by a 14th century Sumatran prince named Sang Nila Utama, who, landing on the island after a thunderstorm, spotted an auspicious beast on the shore that his chief minister identified as a lion.    ', 'id': 2705}"
What is Jakarta?,Indonesia's special capital region,3,short,capital of Indonesia,Capital of Indonesia.,capital of Indonesia,capital of Indonesia and its largest commercial center,The capital of Indonesia and its largest commercial center. The capital of Indonesia and its largest city. The answer: capital of Indonesia and its largest commercial center.,largest city,capital of Indonesia and its largest commercial center,The capital of Indonesia.,capital of Indonesia,capital city,The nation's capital city is Jakarta. The answer: capital city.,capital city,capital,"The capital, Jakarta, is on Java and is the nation's largest city, followed by Surabaya, Bandung, Medan, and Semarang. Final Answer: The nation's largest city.","The capital, Jakarta, is on Java and is the nation's largest city, followed by Surabaya, Bandung, Medan, and Semarang.",capital,The capital of Indonesia.,capital of Indonesia,"{'passage': 'Jakarta, the capital of Indonesia and its largest commercial center', 'id': 810}"
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,6,short,"""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.",The beast which passeth all others in wit and mind.,"""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.","""the beast which passeth all others in wit and mind.""","""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.","""the beast which passeth all others in wit and mind.""","""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.",The beast which passeth all others in wit and mind.,"""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.","""the beast which passeth all others in wit and mind.""","""the beast which passeth all others in wit and mind.""","The elephant was ""the beast which passeth all others in wit and mind."" Final Answer: The beast which passeth all others in wit and mind.","""the beast which passeth all others in wit and mind.""","{'passage': 'Elephants are symbols of wisdom in Asian cultures, and are famed for their memory and high intelligence, and are thought to be on par with cetaceans    and hominids   . Aristotle once said the elephant was ""the beast which passeth all others in wit and mind.""', 'id': 1178}"
How many suborders are turtles divided into?,Three.,7,short,aquatic,Two.,4,three,Three.,three,three,Three.,three,three,Three.,three,three,Three.,three,three,Three.,three,"{'passage': 'Like other reptiles, turtles are ectothermic (or ""cold-blooded"" Reptile blood isn\'t necessarily cold, as reptiles sun themselves and take other measures to stay warm. ). Like other amniotes (reptiles, dinosaurs, birds, and mammals), they breathe air and don\'t lay eggs underwater, though many species live in or around water. The largest turtles are aquatic.', 'id': 2684}"
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",5,short,"Islam, Christianity and Judaism","Islam, Christianity and Judaism.","Islam, Christianity and Judaism","Islam, Christianity and Judaism","Islam, Christianity and Judaism.","Islam, Christianity and Judaism","Islam, Christianity and Judaism","Islam, Christianity and Judaism.","Islam, Christianity and Judaism",Sunni Islam,Islam.,Islam,"Islam, Christianity and Judaism","Islam, Christianity and Judaism.","Islam, Christianity and Judaism","Islam, Christianity and Judaism","Islam, Christianity and Judaism.","Islam, Christianity and Judaism","{'passage': 'The high court of Egypt has outlawed all religions and belief except Islam, Christianity and Judaism. (For more information see Egyptian Identification Card Controversy.)', 'id': 889}"
Did lincoln have 18 months of schooling?,Yes,7,short,Lincoln's formal education consisted of about 18 months of schooling,Lincoln's formal education consisted of about 18 months of schooling. Final Answer: yes.,Yes.,Lincoln's formal education consisted of about 18 months of schooling.,Lincoln's formal education consisted of about 18 months of schooling. The final answer: yes.,Yes.,Lincoln's formal education consisted of about 18 months of schooling.,Lincoln's formal education consisted of about 18 months of schooling. The final answer: yes.,Yes.,Lincoln's formal education consisted of about 18 months of schooling,Lincoln's formal education consisted of about 18 months of schooling. Final Answer: yes.,Yes.,Lincoln's formal education consisted of about 18 months of schooling.,Lincoln's formal education consisted of about 18 months of schooling. The final answer: yes.,Yes.,Lincoln's formal education consisted of about 18 months of schooling.,Lincoln's formal education consisted of about 18 months of schooling. The final answer: yes.,Yes.,"{'passage': ""Lincoln's formal education consisted of about 18 months of schooling. Largely self-educated, he read every book he could get his hands on, once walking.  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric. He was also a talented local wrestler and skilled with an ax; some rails he had allegedly split in his youth were exhibited at the 1860 Republican National Convention, as the party celebrated the poor-boy-made-good theme. Lincoln avoided hunting and fishing because he did not like killing animals, even for food. Though he was unusually tall at  , 4 inches and strong, Lincoln spent so much time reading that some neighbors suspected he must be doing it to avoid strenuous manual labor."", 'id': 287}"
When was the Six Day War?,1967,6,short,1973,"In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights. The final answer: 1973.",1973,1973,"In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights. The Six Day War was launched in 1973. The final answer: 1973.",1973,1973,"In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights. The Six Day War was launched in 1973. The final answer: 1973.",1973,1973,"In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights. The final answer: 1973.",1973,1967,1967,1967,1967,1967.,1967,"{'passage': 'In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights.  It was an attempt to liberate the territory Israel had captured 6 years earlier. Both the US and the USSR intervened and a cease-fire was reached. Despite not being a complete military success, most historians agree that the October War presented Sadat with a political victory that later allowed him to pursue peace with Israel.', 'id': 863}"
Is Romania a secular state?,Yes.,5,short,Romania is a secular state,Romania is a secular state. Final Answer: yes.,Yes.,Romania is a secular state,Romania is a secular state.,Yes.,Romania is a secular state,Romania is a secular state.,Romania is a secular state.,Romania is a secular state,Romania is a secular state. Final Answer: yes.,Yes.,Romania is a secular state,Romania is a secular state.,Yes.,Romania is a secular state,Romania is a secular state.,Romania is a secular state.,"{'passage': 'Romania is a secular state, thus having no national religion. The dominant religious body is the Romanian Orthodox Church; its members make up 86.7% of the population according to the 2002 census. Other important religions include Roman Catholicism (4.7%), Protestantism (3.7%), Pentecostal denominations (1.5%) and the Romanian Greek-Catholic Church (0.9%).  Romania also has a historically significant Muslim minority concentrated in Dobrogea, mostly of Turkish ethnicity and numbering 67,500 people.     Romanian Census Website with population by religion  Based on the 2002 census data, there are also 6,179 Jews, 23,105 people who are of no religion and/or atheist, and 11,734 who refused to answer. On December 27, 2006, a new Law on Religion was approved under which religious denominations can only receive official registration if they have at least 20,000 members, or about 0.1 percent of Romania\'s total population.  Romania President Approves Europe\'s ""Worst Religion Law""', 'id': 3107}"
What completed in November?,the Kunstmuseum Liechtenstein,4,short,a cease-fire was reached,A cease-fire was reached.,a cease-fire was reached.,"Harding and Coolidge were victorious in a landslide, winning every state outside the South.","Harding and Coolidge were victorious in a landslide, winning every state outside the South.","Harding and Coolidge were victorious in a landslide, winning every state outside the South.",Panama Canal,The Panama Canal.,Panama Canal,RMS Titanic disaster,"The ""Seaman's Act"" of 1915.",RMS Titanic disaster,Uruguay Passes Civil-Union Law,"Uruguay Passes Civil-Union Law at San Francisco Bay Times (December 6, 2007).",Uruguay Passes Civil-Union Law,Uruguay Passes Civil-Union Law,"Uruguay Passes Civil-Union Law at San Francisco Bay Times (December 6, 2007).",Uruguay Passes Civil-Union Law,"{'passage': 'In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights.  It was an attempt to liberate the territory Israel had captured 6 years earlier. Both the US and the USSR intervened and a cease-fire was reached. Despite not being a complete military success, most historians agree that the October War presented Sadat with a political victory that later allowed him to pursue peace with Israel.', 'id': 863}"
